Date : 2025-08-24 15:34:10
Directory : e:\dianuo\src
Total : 89 files,  5731 codes, 259 comments, 1007 blanks, all 6997 lines

Languages
+------------+------------+------------+------------+------------+------------+
| language   | files      | code       | comment    | blank      | total      |
| filename                                              | language   | code       | comment    | blank      | total      |
+-------------------------------------------------------+------------+------------+------------+------------+------------+
| e:\dianuo\src\App.css                                 | PostCSS    |         33 |          0 |          6 |         39 |
| e:\dianuo\src\App.js                                  | JavaScript |          6 |          0 |          2 |          8 |
| e:\dianuo\src\component\ButtomBar\index.js            | JavaScript |         67 |         12 |         12 |         91 |
| e:\dianuo\src\component\ButtomBar\index.scss          | SCSS       |         61 |          2 |         15 |         78 |
| e:\dianuo\src\component\Consultancy\index.js          | JavaScript |         65 |          2 |          7 |         74 |
| e:\dianuo\src\component\Consultancy\index.scss        | SCSS       |        102 |          5 |         18 |        125 |
| e:\dianuo\src\component\HeadSection\index.js          | JavaScript |         24 |          1 |          7 |         32 |
| e:\dianuo\src\component\HeadSection\index.scss        | SCSS       |         43 |          2 |          7 |         52 |
| e:\dianuo\src\component\NavBar\index.js               | JavaScript |        172 |         17 |         27 |        216 |
| e:\dianuo\src\component\NavBar\index.scss             | SCSS       |        226 |          7 |         43 |        276 |
| e:\dianuo\src\component\PageMidNav\index.js           | JavaScript |        107 |         14 |         18 |        139 |
| e:\dianuo\src\component\PageMidNav\index.scss         | SCSS       |         71 |          8 |         13 |         92 |
| e:\dianuo\src\component\Pagination\index.js           | JavaScript |         77 |          4 |         11 |         92 |
| e:\dianuo\src\component\Pagination\index.scss         | SCSS       |         48 |          0 |          7 |         55 |
| e:\dianuo\src\component\SideBar\index.js              | JavaScript |         86 |          2 |         13 |        101 |
| e:\dianuo\src\component\SideBar\index.scss            | SCSS       |         42 |          0 |          6 |         48 |
| e:\dianuo\src\deviceContext.js                        | JavaScript |         18 |          0 |          6 |         24 |
| e:\dianuo\src\index.css                               | PostCSS    |         13 |          0 |          2 |         15 |
| e:\dianuo\src\index.js                                | JavaScript |         16 |          0 |          1 |         17 |
| e:\dianuo\src\pages\About\FirmCulture\index.js        | JavaScript |         48 |          0 |          8 |         56 |
| e:\dianuo\src\pages\About\FirmCulture\index.scss      | SCSS       |         84 |          3 |         11 |         98 |
| e:\dianuo\src\pages\About\FirmHonor\index.js          | JavaScript |         76 |          2 |         15 |         93 |
| e:\dianuo\src\pages\About\FirmHonor\index.scss        | SCSS       |         61 |          4 |         10 |         75 |
| e:\dianuo\src\pages\About\FirmIntroduction\index.js   | JavaScript |         21 |          0 |          9 |         30 |
| e:\dianuo\src\pages\About\FirmIntroduction\index.scss | SCSS       |         53 |          3 |          9 |         65 |
| e:\dianuo\src\pages\About\FirmPartner\index.js        | JavaScript |         78 |          5 |         12 |         95 |
| e:\dianuo\src\pages\About\FirmPartner\index.scss      | SCSS       |         86 |          6 |         22 |        114 |
| e:\dianuo\src\pages\About\index.js                    | JavaScript |         20 |          0 |          4 |         24 |
| e:\dianuo\src\pages\About\index.scss                  | SCSS       |         13 |          3 |          2 |         18 |
| e:\dianuo\src\pages\Contact\index.js                  | JavaScript |        147 |          3 |         24 |        174 |
| e:\dianuo\src\pages\Contact\index.scss                | SCSS       |        145 |          5 |         33 |        183 |
| e:\dianuo\src\pages\Error\index.js                    | JavaScript |         24 |          0 |          5 |         29 |
| e:\dianuo\src\pages\Error\index.scss                  | SCSS       |        195 |          1 |         30 |        226 |
| e:\dianuo\src\pages\Home\FirmIntro\index.js           | JavaScript |         64 |          1 |         14 |         79 |
| e:\dianuo\src\pages\Home\FirmIntro\index.scss         | SCSS       |        138 |          5 |         26 |        169 |
| e:\dianuo\src\pages\Home\SlideShow\index.js           | JavaScript |        116 |         18 |         24 |        158 |
| e:\dianuo\src\pages\Home\SlideShow\index.scss         | SCSS       |         79 |          1 |         11 |         91 |
| e:\dianuo\src\pages\Home\index.js                     | JavaScript |         44 |          0 |         14 |         58 |
| e:\dianuo\src\pages\Home\index.scss                   | SCSS       |          0 |          0 |          1 |          1 |
| e:\dianuo\src\pages\News\firmnews\index.js            | JavaScript |         74 |          1 |         11 |         86 |
| e:\dianuo\src\pages\News\firmnews\index.scss          | SCSS       |        123 |          9 |         23 |        155 |
| e:\dianuo\src\pages\News\index.js                     | JavaScript |         21 |          0 |          3 |         24 |
| e:\dianuo\src\pages\News\industrynews\index.js        | JavaScript |         74 |          1 |         11 |         86 |
| e:\dianuo\src\pages\News\industrynews\index.scss      | SCSS       |        123 |          9 |         23 |        155 |
| e:\dianuo\src\pages\News\medianews\index.js           | JavaScript |         74 |          1 |         11 |         86 |
| e:\dianuo\src\pages\News\medianews\index.scss         | SCSS       |        123 |          9 |         23 |        155 |
| e:\dianuo\src\pages\News\newsList\index.js            | JavaScript |         81 |          1 |         13 |         95 |
| e:\dianuo\src\pages\News\newsList\index.scss          | SCSS       |        123 |          9 |         23 |        155 |
| e:\dianuo\src\pages\News\newsdetail\index.js          | JavaScript |         97 |          0 |         18 |        115 |
| e:\dianuo\src\pages\News\newsdetail\index.scss        | SCSS       |         93 |          4 |         22 |        119 |
| e:\dianuo\src\pages\Product\all\index.js              | JavaScript |         75 |          3 |         14 |         92 |
| e:\dianuo\src\pages\Product\all\index.scss            | SCSS       |          0 |          0 |          1 |          1 |
| e:\dianuo\src\pages\Product\detail\index.js           | JavaScript |        254 |         11 |         39 |        304 |
| e:\dianuo\src\pages\Product\detail\index.scss         | SCSS       |        218 |          6 |         41 |        265 |
| e:\dianuo\src\pages\Product\fxy\index.js              | JavaScript |         75 |          3 |         14 |         92 |
| e:\dianuo\src\pages\Product\fxy\index.scss            | SCSS       |          0 |          0 |          1 |          1 |
| e:\dianuo\src\pages\Product\hc\index.js               | JavaScript |         75 |          3 |         14 |         92 |
| e:\dianuo\src\pages\Product\hc\index.scss             | SCSS       |          0 |          0 |          1 |          1 |
| e:\dianuo\src\pages\Product\index.js                  | JavaScript |         20 |          0 |          5 |         25 |
| e:\dianuo\src\pages\Product\index.scss                | SCSS       |         72 |          3 |         12 |         87 |
| e:\dianuo\src\pages\Product\newPro\index.js           | JavaScript |         18 |          0 |          3 |         21 |
| e:\dianuo\src\pages\Product\newPro\index.scss         | SCSS       |         31 |          2 |          3 |         36 |
| e:\dianuo\src\pages\Product\other\index.js            | JavaScript |         72 |          3 |         12 |         87 |
| e:\dianuo\src\pages\Product\other\index.scss          | SCSS       |          0 |          0 |          1 |          1 |
| e:\dianuo\src\pages\Product\sj\index.js               | JavaScript |         75 |          3 |         14 |         92 |
| e:\dianuo\src\pages\Product\sj\index.scss             | SCSS       |          0 |          0 |          1 |          1 |
| e:\dianuo\src\pages\Recruit\index.js                  | JavaScript |         21 |          0 |          3 |         24 |
| e:\dianuo\src\pages\Recruit\jobdetail\index.js        | JavaScript |         69 |          1 |         14 |         84 |
| e:\dianuo\src\pages\Recruit\jobdetail\index.scss      | SCSS       |         43 |          1 |          8 |         52 |
| e:\dianuo\src\pages\Recruit\position\index.js         | JavaScript |         42 |          1 |          7 |         50 |
| e:\dianuo\src\pages\Recruit\position\index.scss       | SCSS       |         68 |          1 |         13 |         82 |
| e:\dianuo\src\pages\Recruit\requirement\index.js      | JavaScript |         19 |          0 |          3 |         22 |
| e:\dianuo\src\pages\Recruit\requirement\index.scss    | SCSS       |         48 |          2 |         10 |         60 |
| e:\dianuo\src\pages\Service\aftersale\index.js        | JavaScript |         31 |          0 |          7 |         38 |
| e:\dianuo\src\pages\Service\aftersale\index.scss      | SCSS       |         81 |          2 |         12 |         95 |
| e:\dianuo\src\pages\Service\index.js                  | JavaScript |         22 |          0 |          4 |         26 |
| e:\dianuo\src\pages\Service\index.scss                | SCSS       |          0 |          0 |          1 |          1 |
| e:\dianuo\src\pages\Service\video\index.js            | JavaScript |         48 |          2 |          8 |         58 |
| e:\dianuo\src\pages\Service\video\index.scss          | SCSS       |         42 |          3 |          6 |         51 |
| e:\dianuo\src\router\index.js                         | JavaScript |        189 |          2 |          2 |        193 |
| e:\dianuo\src\store\index.js                          | JavaScript |         22 |          1 |          2 |         25 |
| e:\dianuo\src\store\modules\jobDetailStore.js         | JavaScript |         28 |          3 |          6 |         37 |
| e:\dianuo\src\store\modules\latestNewsStore.js        | JavaScript |         16 |          0 |          3 |         19 |
| e:\dianuo\src\store\modules\navBarStore.js            | JavaScript |         23 |          4 |          6 |         33 |
| e:\dianuo\src\store\modules\newsDetailStore.js        | JavaScript |         28 |          1 |          6 |         35 |
| e:\dianuo\src\store\modules\newsListStore.js          | JavaScript |         34 |          6 |          6 |         46 |
| e:\dianuo\src\store\modules\newsTypeStore.js          | JavaScript |         35 |          5 |          6 |         46 |
| e:\dianuo\src\store\modules\recruitPositionStore.js   | JavaScript |         28 |          4 |          6 |         38 |
| e:\dianuo\src\store\modules\serviceVideoStore.js      | JavaScript |         34 |          3 |          6 |         43 |
| Total                                                 |            |      5,731 |        259 |      1,007 |      6,997 |
+-------------------------------------------------------+------------+------------+------------+------------+------------+
